quotes
"When you're backed against the wall, break the goddamn thing down. "
Win a no-win situation by rewriting the rules.
"I don't play the odds, I play the man."
"It's not about caring, it's about winning."
Sometimes good guys gotta do bad things to make the bad guys pay.
"I don't have dreams, I have goals."
The only time success comes before work is in the dictionary.
"Don't raise your voice, improve your argument."
"You always have a choice, you just have to own up to the consequences."
I refuse to answer that on the grounds that I don't want to.
